Date,Open,High,Low,Close,Adj Close,Volume
2021-12-07,223.500000,227.699997,222.699997,226.399994,224.602753,3388732
2021-12-08,228.350006,230.800003,227.000000,229.350006,227.529358,2245675
2021-12-09,230.000000,231.000000,226.850006,227.649994,225.842834,1891344
2021-12-10,226.000000,229.800003,225.500000,227.850006,226.041260,1440460
2021-12-13,230.100006,236.550003,229.100006,230.199997,228.372589,2606025
2021-12-14,230.399994,230.399994,225.649994,229.050003,227.231735,1471113
2021-12-15,229.149994,232.300003,227.000000,227.899994,226.090851,2402500
2021-12-16,230.100006,230.149994,219.250000,221.949997,220.188080,4514077
2021-12-17,222.899994,222.899994,214.000000,215.800003,214.086914,4688485
2021-12-20,210.649994,211.850006,202.800003,209.100006,207.440109,6291941
2021-12-21,212.500000,216.199997,209.800003,211.949997,210.267471,3266770
2021-12-22,214.949997,218.550003,212.899994,218.000000,216.269440,2361123
2021-12-23,220.300003,221.250000,217.399994,218.000000,216.269440,2020609
2021-12-24,219.399994,219.449997,214.149994,216.850006,215.128586,1262336
2021-12-27,216.250000,217.750000,213.750000,217.350006,215.624619,1938613
2021-12-28,219.000000,222.199997,218.300003,221.550003,219.791260,2441962
2021-12-29,221.300003,223.199997,218.899994,219.399994,217.658325,1087517
2021-12-30,219.149994,221.050003,217.100006,218.350006,216.616669,972100
2021-12-31,218.550003,221.949997,218.399994,220.899994,219.146423,1636408
2022-01-03,221.399994,223.949997,216.100006,223.350006,221.576981,1187486
2022-01-04,224.800003,228.399994,221.000000,226.250000,224.453949,1835881
2022-01-05,226.300003,226.649994,223.050003,223.550003,221.775391,1253469
2022-01-06,220.199997,229.699997,219.699997,228.399994,226.586884,3582629
2022-01-07,230.500000,232.899994,227.149994,229.699997,227.876556,2133329
2022-01-10,231.300003,233.449997,230.399994,231.699997,229.860687,1451869
2022-01-11,233.000000,236.699997,231.899994,233.100006,231.249588,1851461
2022-01-12,235.100006,239.600006,234.350006,237.649994,235.763458,3518599
2022-01-13,239.199997,246.600006,236.500000,245.250000,243.303131,3579481
2022-01-14,243.949997,248.500000,242.500000,244.199997,242.261459,2250623
2022-01-17,245.949997,249.250000,245.199997,247.850006,245.882492,1545585
2022-01-18,250.199997,250.600006,237.850006,239.050003,237.152344,4163832
2022-01-19,238.649994,249.750000,236.350006,248.500000,246.527328,2745734
2022-01-20,250.000000,252.050003,245.199997,248.649994,246.676132,3993976
2022-01-21,245.550003,250.750000,238.550003,242.050003,240.128525,3983061
2022-01-24,242.100006,243.850006,226.699997,229.550003,227.727768,6200425
2022-01-25,226.050003,240.850006,222.800003,238.850006,236.953934,4610573
2022-01-27,235.600006,242.250000,232.649994,241.050003,239.136475,4014337
2022-01-28,244.300003,249.899994,242.899994,244.050003,242.112656,3940148
2022-01-31,247.899994,249.500000,245.250000,246.050003,244.096771,2895927
2022-02-01,249.899994,256.299988,244.699997,249.800003,247.817017,8929863
2022-02-02,251.899994,255.000000,249.300003,250.600006,248.610657,1929770
2022-02-03,250.850006,254.300003,249.300003,252.850006,250.842804,3307431
2022-02-04,253.500000,257.850006,253.000000,254.350006,252.330887,4189835
2022-02-07,256.399994,256.799988,250.550003,251.850006,249.850739,3327669
2022-02-08,252.699997,253.750000,232.699997,234.750000,232.886475,8179436
2022-02-09,237.899994,238.899994,232.699997,237.949997,236.061066,2758835
2022-02-10,238.899994,244.449997,234.199997,241.300003,239.384491,2950494
2022-02-11,239.949997,242.000000,230.350006,232.300003,230.455933,3340019
2022-02-14,225.399994,226.949997,215.000000,220.500000,218.749603,5495036
2022-02-15,223.300003,232.000000,218.800003,230.399994,228.570999,4965154
2022-02-16,233.399994,236.750000,230.250000,231.399994,229.563065,3813044
2022-02-17,233.500000,233.800003,227.000000,227.750000,225.942047,2799606
2022-02-18,227.199997,230.000000,224.550003,225.800003,224.007523,2443697
2022-02-21,224.100006,227.550003,222.300003,225.000000,223.213882,2764107
2022-02-22,210.000000,224.699997,210.000000,222.600006,220.832932,3922494
2022-02-23,226.050003,226.850006,220.500000,221.199997,219.444046,1518912
2022-02-24,211.199997,216.050003,203.300003,204.350006,202.727814,8646430
2022-02-25,208.199997,221.000000,208.199997,220.050003,218.303177,6181827
2022-02-28,217.699997,224.399994,214.100006,223.050003,221.279358,3755733
2022-03-02,221.300003,227.199997,218.300003,225.399994,223.610703,3363264
2022-03-03,229.350006,230.500000,225.850006,226.600006,224.801178,1628433
2022-03-04,225.050003,226.449997,220.750000,221.449997,219.692062,2949511
2022-03-07,214.350006,219.600006,212.250000,216.250000,214.533340,3780800
2022-03-08,217.350006,227.800003,215.000000,227.000000,225.197998,4815651
2022-03-09,229.899994,231.100006,226.199997,229.250000,227.430145,3079880
2022-03-10,234.550003,235.949997,229.899994,232.300003,230.455933,2966270
2022-03-11,232.350006,234.199997,230.199997,233.149994,231.299179,1828156
2022-03-14,232.000000,234.649994,230.500000,231.500000,229.662277,1524284
2022-03-15,231.899994,233.350006,225.350006,227.399994,225.594818,1065698
2022-03-16,229.399994,231.850006,229.050003,230.399994,228.570999,1295640
2022-03-17,233.300003,233.899994,231.300003,231.750000,229.910294,686776
2022-03-21,233.000000,233.500000,227.399994,228.000000,226.190063,1552158
2022-03-22,229.699997,231.899994,226.300003,231.300003,229.463867,1535322
2022-03-23,232.899994,237.449997,231.699997,234.399994,232.539246,1795694
2022-03-24,234.750000,241.000000,232.850006,239.550003,237.648376,3409708
2022-03-25,240.000000,244.199997,239.199997,241.350006,239.434097,3261005
2022-03-28,242.800003,243.899994,237.500000,239.550003,237.648376,1799856
2022-03-29,243.899994,244.850006,238.550003,239.300003,237.400360,1072936
2022-03-30,241.000000,244.850006,237.850006,241.600006,239.682114,2663049
2022-03-31,242.550003,242.850006,237.949997,238.850006,236.953934,761026
2022-04-01,237.399994,246.250000,237.199997,245.399994,243.451935,3142666
2022-04-04,247.350006,253.500000,246.100006,251.949997,249.949936,2603282
2022-04-05,253.800003,275.200012,252.300003,273.600006,271.428070,8322318
2022-04-06,275.799988,296.500000,273.000000,289.799988,287.499451,18202888
2022-04-07,293.000000,298.000000,275.899994,277.899994,275.693939,14506587
2022-04-08,280.450012,283.000000,272.850006,278.149994,275.941956,5935637
2022-04-11,281.000000,288.500000,280.149994,282.950012,280.703857,4534488
2022-04-12,283.500000,283.549988,271.700012,275.250000,273.064972,4090305
2022-04-13,278.700012,280.250000,272.350006,273.049988,270.882416,2608816
2022-04-18,269.299988,269.299988,252.300003,257.899994,255.852707,4476477
2022-04-19,261.299988,262.000000,242.500000,246.699997,244.741608,3477604
2022-04-20,249.600006,255.100006,246.699997,249.699997,247.717804,4190265
2022-04-21,253.000000,260.000000,250.750000,258.799988,256.745544,4167985
2022-04-22,258.100006,259.000000,252.300003,253.250000,251.239624,1792109
2022-04-25,247.550003,251.500000,244.750000,247.399994,245.436050,3213624
2022-04-26,251.000000,251.649994,248.050003,248.800003,246.824951,2134841
2022-04-27,248.000000,255.149994,245.550003,247.300003,245.336853,1823627
2022-04-28,250.550003,250.800003,244.500000,248.350006,246.378525,1111168
2022-04-29,250.949997,253.250000,240.850006,242.300003,240.376541,2485691
2022-05-02,240.100006,249.600006,238.350006,248.500000,246.527328,1611015
2022-05-04,250.100006,254.000000,242.899994,244.949997,243.005508,3581662
2022-05-05,249.000000,251.300003,244.899994,247.550003,245.584869,2542156
2022-05-06,243.000000,246.899994,240.649994,245.199997,243.253525,3620170
2022-05-09,235.350006,236.750000,223.050003,229.899994,228.074966,6525894
2022-05-10,229.399994,234.500000,220.699997,222.350006,220.584915,2038238
2022-05-11,222.500000,229.750000,219.550003,226.550003,224.751572,3801866
2022-05-12,226.000000,227.000000,217.000000,219.050003,217.311111,3314203
2022-05-13,224.550003,229.149994,221.250000,222.850006,221.080948,2842618
2022-05-16,225.699997,227.649994,220.350006,226.649994,224.850769,2235603
2022-05-17,229.000000,242.399994,227.750000,241.250000,239.334885,3845749
2022-05-18,243.399994,243.399994,236.300003,237.750000,235.862656,2554785
2022-05-19,229.100006,232.550003,226.500000,228.449997,226.636490,2723434
2022-05-20,232.500000,236.000000,230.350006,233.250000,231.398392,2095644
2022-05-23,235.100006,236.000000,228.800003,229.750000,227.926163,1829958
2022-05-24,230.050003,231.399994,224.850006,227.050003,225.247604,1108362
2022-05-25,228.550003,229.949997,220.000000,220.899994,219.146423,1781551
2022-05-26,222.399994,224.350006,210.250000,221.399994,219.642456,3890146
2022-05-27,225.699997,226.899994,222.800003,224.699997,222.916260,914876
2022-05-30,227.949997,233.899994,217.550003,233.250000,231.398392,2519655
2022-05-31,233.149994,237.600006,231.149994,235.100006,233.233704,2683385
2022-06-01,233.800003,236.149994,230.600006,232.649994,230.803146,685148
2022-06-02,232.800003,235.899994,231.250000,234.199997,232.340836,854733
2022-06-03,236.899994,236.899994,230.300003,231.050003,229.215851,1189257
2022-06-06,231.050003,233.600006,227.500000,232.300003,230.455933,1316518
2022-06-07,230.949997,235.399994,229.550003,234.699997,232.836868,1826948
2022-06-08,233.050003,236.649994,231.199997,233.000000,231.150375,1014438
2022-06-09,232.500000,234.699997,231.399994,233.000000,231.150375,1142170
2022-06-10,231.949997,232.449997,229.050003,230.199997,228.372589,580714
2022-06-13,223.949997,226.399994,218.899994,219.500000,217.757538,1002297
2022-06-14,214.949997,224.399994,214.800003,220.449997,218.699997,1623252
2022-06-15,220.699997,222.399994,218.399994,218.899994,218.899994,1119793
2022-06-16,222.750000,223.300003,209.000000,209.850006,209.850006,1218284
2022-06-17,209.399994,214.000000,207.000000,210.449997,210.449997,2207033
2022-06-20,211.300003,213.050003,190.000000,194.750000,194.750000,5265949
2022-06-21,198.899994,207.800003,192.500000,204.550003,204.550003,1813268
2022-06-22,204.550003,204.600006,198.850006,201.300003,201.300003,1684091
2022-06-23,201.000000,204.850006,198.750000,202.949997,202.949997,2028424
2022-06-24,205.000000,208.750000,203.800003,207.850006,207.850006,1387075
2022-06-27,210.300003,211.600006,207.750000,208.050003,208.050003,811150
2022-06-28,206.600006,209.050003,204.949997,208.699997,208.699997,594605
2022-06-29,205.750000,209.699997,205.649994,207.199997,207.199997,1036665
2022-06-30,207.500000,209.300003,201.500000,202.350006,202.350006,700573
2022-07-01,204.250000,207.600006,200.550003,207.000000,207.000000,1505100
2022-07-04,207.350006,212.500000,207.350006,211.500000,211.500000,775864
2022-07-05,214.699997,217.100006,212.000000,212.750000,212.750000,1766469
2022-07-06,216.100006,216.100006,210.100006,213.949997,213.949997,774829
2022-07-07,215.899994,216.449997,212.350006,214.500000,214.500000,937404
2022-07-08,217.199997,220.850006,214.800003,220.050003,220.050003,859912
2022-07-11,219.250000,221.850006,218.199997,220.800003,220.800003,1579360
2022-07-12,220.250000,224.199997,218.800003,221.449997,221.449997,1486038
2022-07-13,222.250000,223.300003,219.949997,220.850006,220.850006,652656
2022-07-14,223.000000,223.250000,219.149994,221.250000,221.250000,1200225
2022-07-15,221.449997,226.250000,221.449997,225.050003,225.050003,819214
2022-07-18,226.750000,228.850006,225.449997,227.800003,227.800003,2977442
2022-07-19,227.050003,229.550003,226.500000,228.149994,228.149994,1074248
2022-07-20,230.000000,230.500000,226.649994,227.399994,227.399994,1222750
2022-07-21,226.500000,230.899994,226.500000,230.000000,230.000000,843403
2022-07-22,230.500000,234.000000,230.199997,230.850006,230.850006,598857
2022-07-25,231.399994,233.250000,229.500000,232.500000,232.500000,1225952
2022-07-26,233.000000,233.500000,225.250000,226.149994,226.149994,1171832
2022-07-27,221.899994,223.899994,215.500000,217.949997,217.949997,2853922
2022-07-28,220.850006,221.449997,216.899994,218.149994,218.149994,1046168
2022-07-29,219.949997,222.600006,218.800003,221.899994,221.899994,1895119
2022-08-01,221.500000,231.149994,221.500000,230.350006,230.350006,4090207
2022-08-02,231.000000,233.500000,227.350006,232.600006,232.600006,1118471
2022-08-03,232.300003,237.399994,231.050003,232.449997,232.449997,1272535
2022-08-04,233.949997,234.949997,225.300003,227.699997,227.699997,923339
2022-08-05,228.949997,233.100006,227.699997,232.100006,232.100006,1866857
2022-08-08,231.600006,232.800003,227.699997,228.300003,228.300003,2019546
2022-08-10,229.149994,230.300003,227.199997,228.449997,228.449997,720894
2022-08-11,230.449997,231.399994,228.350006,229.449997,229.449997,458084
2022-08-12,229.500000,235.500000,228.649994,232.399994,232.399994,2598852
2022-08-16,232.399994,237.449997,231.350006,236.000000,236.000000,2126597
2022-08-17,238.050003,241.699997,236.550003,237.199997,237.199997,2717855
2022-08-18,237.149994,239.699997,236.000000,238.000000,238.000000,1101807
2022-08-19,238.399994,241.850006,231.850006,232.699997,232.699997,2351892
