Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,20.650000,20.650000,19.200001,19.500000,19.138344,22513349
2021-08-24,19.500000,20.450001,19.500000,20.450001,20.070726,16012280
2021-08-25,20.850000,21.150000,20.350000,20.450001,20.070726,15894004
2021-08-26,20.500000,20.950001,20.200001,20.350000,19.972582,9232645
2021-08-27,20.350000,20.500000,20.049999,20.150000,19.776291,7826611
2021-08-30,20.350000,20.500000,20.150000,20.200001,19.825363,7299181
2021-08-31,20.400000,21.200001,20.150000,20.650000,20.267015,18666411
2021-09-01,20.750000,21.650000,20.450001,21.549999,21.150324,18303344
2021-09-02,21.549999,22.600000,21.299999,22.600000,22.180851,34893154
2021-09-03,23.200001,23.700001,22.900000,23.700001,23.260452,73696269
2021-09-06,24.299999,24.650000,23.100000,23.900000,23.456741,49866601
2021-09-07,23.900000,24.350000,23.350000,23.600000,23.162304,17317511
2021-09-08,23.750000,24.750000,23.750000,24.750000,24.290976,39542752
2021-09-09,25.100000,25.950001,25.100000,25.500000,25.027067,84637159
2021-09-13,26.150000,26.250000,24.850000,25.250000,24.781704,34971571
2021-09-14,25.750000,25.750000,24.900000,25.049999,24.585413,18338855
2021-09-15,25.299999,25.299999,24.100000,24.600000,24.143759,21228710
2021-09-16,24.700001,25.549999,24.500000,24.600000,24.143759,17858677
2021-09-17,24.750000,24.950001,23.400000,23.750000,23.309523,21806960
2021-09-20,23.900000,24.799999,23.750000,24.100000,23.653032,15964923
2021-09-21,24.200001,24.450001,23.100000,23.900000,23.456741,17826931
2021-09-22,23.900000,24.450001,23.850000,23.950001,23.505814,11885362
2021-09-23,24.200001,24.850000,24.200001,24.350000,23.898396,13111647
2021-09-24,24.750000,24.850000,24.049999,24.200001,23.751177,10031089
2021-09-27,24.750000,24.750000,24.299999,24.549999,24.094685,10333497
2021-09-28,24.900000,25.750000,24.450001,25.750000,25.272430,57760142
2021-09-29,25.750000,27.000000,25.350000,26.750000,26.253883,56542648
2021-09-30,27.000000,28.049999,26.400000,28.000000,27.480701,61800646
2021-10-01,27.900000,29.400000,27.600000,29.400000,28.854736,57358051
2021-10-04,30.400000,30.850000,30.100000,30.850000,30.277843,43005012
2021-10-05,32.349998,32.349998,32.349998,32.349998,31.750021,3094094
2021-10-06,33.950001,33.950001,32.549999,33.950001,33.320347,34259205
2021-10-07,35.000000,35.599998,32.299999,32.400002,31.799097,157141056
2021-10-08,32.000000,34.000000,30.850000,34.000000,33.369423,35258640
2021-10-11,35.700001,35.700001,35.700001,35.700001,35.037895,2756853
